pgb-index-contact-complex-down;sent;name;value;pos;feats;class;use
pgb-index-contact-simple-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;"Ну в общем PGB-index-nocontact-simple-vertical ну видишь PGE, PGB-index-contact-simple-down он так смотрит PGE, типа, ""Это вы что, ему обо мне рассказывает[]""? PGB-index-contact-complex-vertical Видишь, он это PGE он тут подозрительный, подозрительный.";w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-vertical;"Ну в общем PGB-index-nocontact-simple-vertical ну видишь PGE, PGB-index-contact-simple-down он так смотрит PGE, типа, ""Это вы что, ему обо мне рассказывает[]""? PGB-index-contact-complex-vertical Видишь, он это PGE он тут подозрительный, подозрительный.";w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down И это этот парень PGE который, PGB-index-contact-simple-down наверное, в тюрьму и попал PGE за то, что PGB-iindex-contact-complex-down он избил ее PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Он PGE, PGB-index-nocontact-simple-down наверное, ее ударил за PGE то, что она ему изменила.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-down;PGB-other-contact-simple-down Это он и PGE пацаненок уже взрослый.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;Ну PGB-index-contact-complex-down смотри, тут он PGE шлепки, кстати, носит.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Видишь, он PGE тоже в защитной позе.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Ну да, PGB-index-contact-complex-down ну это явно до PGE, потому что все таки PGB-index-contact-simple-down он ее PGE ударил.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да, PGB-index-contact-simple-down тут он рассказывает PGE как ему тяжко приходилось.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-down;"А! Да, видишь, эта та ситуация, что PGB-other-nocontact-simple-down он ей PGE рассказывает: ""Да мне корешь сказал!"" ""Да братан же сказал типа, PGB-index-contact-simple-down что PGE ты вот."" PGB-other-nocontact-simple-vertical Видишь PGE.";w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Он может, PGE ну, PGB-index-contact-complex-down как бомж слегка PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да, другой стороны, может быть он только он как бы смирился с тем, PGB-index-contact-simple-down ему сейчас выдают PGE и PGB-index-contact-simple-down он как раз наоборот PGE в тюрьму.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Окей, у меня PGB-index-contact-simple-down предположение одно PGE, что это, PGB-index-contact-simple-down что это что он PGE говорит, что PGB-index-contact-simple-down это его девушка PGE.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Ты как считаешь PGE? PGB-index-nocontact-simple-down Ты считаешь, что это PGE PGB-index-contact-simple-down он PGE PGB-index-contact-simple-down или это он PGE?;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Ты как считаешь PGE? PGB-index-nocontact-simple-down Ты считаешь, что это PGE PGB-index-contact-simple-down он PGE PGB-index-contact-simple-down или это он PGE?;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-dow;PGB-index-contact-simple-dow Он отказывается от алкоголя PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;И PGB-index-nocontact-complex-down он не хочет уже с этими людьми вообще PGE ничего иметь общего.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;О принятии всего PGE, PGB-index-contact-simple-down как он PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-down;PGB-palm-contact-simple-down Вот этот человек, он PGE.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Но вот этот вот в полосатом, он PGE он вспоминает, выговаривает какую-то ситуацию, PGB-index-contact-complex-down которая произошла вот у этого PGE.;w7;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-simple-up;Да, PGB-palm-nocontact-simple-up либо вот он думает PGE, что я вот буду за решеткой сидеть.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Или он думает PGE, что его там будут бить.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-down;Слушай, это жена его! PGB-other-contact-simple-down Это его жена, которую он побил PGE! А, ну да.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-down;Вот смотри, было бы круто если бы. PGB-palm-contact-simple-down Он мечтает, что его встречают PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-up;Эм, ну PGB-other-contact-simple-up тут понятно, что он недоволен, потому что у него рука PGE в кулак сжата.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down А че он PGE PGB-index-nocontact-simple-down этого не побил PGE, а барышню побил?;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Да, PGB-index-nocontact-simple-down он еще PGE не. PGB-palm-nocontact-simple-up Они пока еще только начали PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical Точно, смотри, он боится PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-vertical;PGB-index-nocontact-complex-vertical Значит он сразу же PGE пойдет к своей семье.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он рассказывает то, что ему этот мужик рассказал PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-up;PGB-index-nocontact-simple-up А вот он PGE не белый.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Ну скорее всего PGB-index-nocontact-simple-down он не говорит на их PGE языке.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-complex-down;Ну понятно, да, подобрали PGE. PGB-palm-contact-complex-down И он отсидел в обезъяннике PGE ночь.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-down;Что это PGE если PGB-palm-contact-simple-down он вышел из тюрьмы PGE. PGB-other-contact-simple-down А это он отсидел PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-down;Что это PGE если PGB-palm-contact-simple-down он вышел из тюрьмы PGE. PGB-other-contact-simple-down А это он отсидел PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;Ну, ну подожди, PGB-index-nocontact-complex-down мне кажется, что он сказал ему что-то PGE, что его разозлило.;w4;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Мне PGB-index-nocontact-simple-down кажется, он ему рассказал PGE что-то про его девушку, или что-то такое.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;"Это PGB-index-nocontact-simple-down потом это он потом так PGE типа ""by the way"", да.";w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;При этом он совершенно не PGB-index-nocontact-complex-down думает о том, что он PGE сделал женой, и правда.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;PGB-index-contact-complex-down Но он однозначно PGE так или иначе использовал бутылку, PGB-index-nocontact-simple-down потому что PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;Любопытно, что он по том PGB-index-nocontact-complex-down судя по тому, что он PGE рассказывает, он не пытается извиниться.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-complex-down;Не, он даже на самом деле ощущение, что PGB-palm-nocontact-complex-down он даже не понимает о том, что он натворил, да PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-complex-down;Не, он даже на самом деле ощущение, что PGB-palm-nocontact-complex-down он даже не понимает о том, что он натворил, да PGE.;w8;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-up;Это как-то странно PGE, то есть он. PGB-palm-contact-simple-up Он пришел PGE, PGB-index-nocontact-complex-down потом ушел PGE как бы, да.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-vertical;Да, или на пути. PGB-index-nocontact-simple-vertical Хотя тут он ребенком PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-contact-simple-down;То есть как бы PGB-palm-contact-simple-down он там вышел PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-nocontact-simple-up;Ну как бы, и PGB-other-nocontact-simple-up он единственный как ну кто PGE у кого PGB-other-nocontact-simple-up эмоции счастливые PGE. PGB-other-nocontact-simple-up Они как-то, ну PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Так нет, смотри, это реально он PGE.;w6;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Как он туда попал PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Нет, тут PGB-index-contact-simple-down смотри, вот этот PGE PGB-index-contact-complex-down чувак ему говорит о том, что PGE PGB-index-contact-simple-down он якобы там PGE, PGB-index-nocontact-complex-down что эта девушка PGE.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Что PGB-index-contact-simple-down его разозлило PGE, PGB-index-nocontact-simple-down потому что он явно тоже недоволен PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down может быть он самый PGE PGB-index-nocontact-simple-down молодой здесь, не знаю.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w6;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-simple-vertical;Да, ну PGB-palm-nocontact-simple-vertical может быть он скатился PGE, кто знает.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-other-contact-simple-up;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Ну слушай, интересно, это картинка такая хреновая, или он ему реально глаз че-то сделал PGE.;w9;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Слушай, он по-ходу, не арбузом, он все таки бутылкой PGE.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Слушай, он по-ходу, не арбузом, он все таки бутылкой PGE.;w6;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;Да, PGB-index-contact-complex-down тут он типа, что он там сидел в темной PGE своей камере.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;Да, PGB-index-contact-complex-down тут он типа, что он там сидел в темной PGE своей камере.;w5;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;То есть PGB-index-contact-complex-down он говорит, что ему, наверное, товарищ PGE рассказал, что PGB-index-contact-simple-down она флиртовала PGE PGB-index-nocontact-simple-down каким-то парнем PGE, продающим газеты.;w1;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-simple-vertical;Ну PGB-palm-nocontact-simple-vertical хотя бы он PGB-palm-nocontact-complex-down не вижу тут ни нотки раскаяние нигде PGE.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;И про PGB-index-nocontact-complex-down деда он вообще PGE не вспоминает.;w2;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-simple-down;Блин, реально, если, PGB-index-nocontact-simple-down короче, переиначить, он предлагает PGE как.;w3;он;PRON;Case=Nom|Gender=Masc|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да, и PGB-index-contact-simple-down она пошла PGE.;w1;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-vertical;Чтобы избавиться PGB-index-nocontact-simple-down от него PGE, чтобы PGB-index-nocontact-complex-vertical она могла быть счастлива PGE другим мужчиной?;w1;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Это жертва, она рассказывает PGE, как PGB-index-contact-simple-down ее били PGE.;w3;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-palm-nocontact-complex-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w2;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-up;PGB-index-nocontact-complex-up Она позвала полицию PGE.;w1;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w1;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Ну вот тут, PGB-index-contact-simple-down вот она вот эти PGE фрукты держит.;w2;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-nocontact-complex-down;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w2;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;То есть PGB-index-contact-complex-down он говорит, что ему, наверное, товарищ PGE рассказал, что PGB-index-contact-simple-down она флиртовала PGE PGB-index-nocontact-simple-down каким-то парнем PGE, продающим газеты.;w1;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;PGB-index-contact-complex-down А она говорит, что она просто PGE покупала заплатила.;w2;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-complex-down;PGB-index-contact-complex-down А она говорит, что она просто PGE покупала заплатила.;w5;она;PRON;Case=Nom|Gender=Fem|Number=Sing|Person=3;pp_sg;exophoric
pgb-index-contact-simple-down;Да, другой стороны, может быть он только он как бы смирился с тем, PGB-index-contact-simple-down ему сейчас выдают PGE и PGB-index-contact-simple-down он как раз наоборот PGE в тюрьму.;w2;сейчас;ADV;Degree=Pos;temporal;other
pgb-index-contact-simple-down;То есть PGE PGB-index-contact-simple-down и PGE PGB-index-contact-complex-down собственно вопрос в том, что PGE, похоже, PGB-index-contact-simple-down ему выдают эти вещи сейчас PGE.;w5;сейчас;ADV;Degree=Pos;temporal;other
pgb-index-nocontact-complex-up;Да, PGB-index-nocontact-complex-up мы сейчас узнаем, что там PGE.;w2;сейчас;ADV;Degree=Pos;temporal;other
pgb-palm-contact-simple-vertical;Слушай, ну PGB-palm-contact-simple-vertical сейчас пацан PGE.;w1;сейчас;ADV;Degree=Pos;temporal;other
pgb-other-contact-simple-down;Да, она PGB-other-contact-simple-down сейчас уронит его PGE.;w1;сейчас;ADV;Degree=Pos;temporal;other
pgb-index-contact-simple-down;PGB-index-contact-simple-down То есть вот это дед PGE, PGB-index-nocontact-simple-down а это PGE, PGB-index-nocontact-complex-down ну, жена PGE.;w1;то;PRON;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;dem_p_dist;presentational