pgb-index-contact-complex-down;sent;name;value;pos;feats;trans;v.form;use;semantics
pgb-index-nocontact-simple-down;И что PGB-index-nocontact-simple-down в тюрьме его будет избивать PGE полицейский.;w4;будет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-complex-down Хотя нет, тут валяются уже бутылки PGE, то есть они.;w4;валяются;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;material
pgb-palm-contact-simple-down;Да-да-да PGE. PGB-palm-contact-simple-down Думает PGE, PGB-palm-contact-simple-down возвращается PGE.;w1;возвращается;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;material
pgb-palm-nocontact-complex-down;Ну короче, да, человек PGB-palm-nocontact-complex-down человек выходит из PGE из.;w2;выходит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-simple-down;Ну мне, правда, очень нравится вариант, где он PGB-index-contact-simple-down выходит PGE выходит прям.;w1;выходит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;Так, PGB-index-contact-complex-down я не знаю, что делает вот этот PGE человек.;w5;делает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down То есть вот это дед PGE, PGB-index-nocontact-simple-down а это PGE, PGB-index-nocontact-complex-down ну, жена PGE.;w2;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-other-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w3;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Зато хлебушек есть PGE.;w3;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-simple-up;Ну слушай, если PGB-index-contact-simple-up есть деньги на обувь PGE, то уже неплохо живут.;w1;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-simple-down;Глаз тоже PGE нет PGB-index-contact-simple-down то есть у нее они PGE прорисованы глаза, а PGB-index-nocontact-simple-down вот у этого PGE у дитя как-то все не понятно.;w2;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Ну тут уже сын есть PGE.;w5;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;Ну почти PGB-index-nocontact-simple-down уверен, что история идет в обратную сторону PGE.;w4;идет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-complex-down Вот они идут по улице PGE.;w3;идут;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-contact-complex-down;Смотри, они PGB-index-contact-complex-down это они PGE собрали и PGB-index-contact-simple-down идут продавать PGE, наверное, да?;w1;идут;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;И что PGB-index-nocontact-simple-down в тюрьме его будет избивать PGE полицейский.;w5;избивать;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;imperfective;card;material
pgb-index-nocontact-simple-down;А PGB-index-nocontact-simple-down вот старичек наблюдает PGE.;w3;наблюдает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;А, PGB-index-contact-complex-down здесь еще алкоголь присутствует PGE.;w4;присутствует;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;Ну смотри не, PGB-index-contact-complex-down из камеры свет то светит PGE.;w5;светит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;Да, PGB-index-contact-complex-down тут он типа, что он там сидел в темной PGE своей камере.;w7;сидел;VERB;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-other-contact-simple-up;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w6;сидит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down И тут они тоже сидят в каком-то PGE бунгало.;w5;сидят;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-other-contact-simple-down;Ну да, PGB-other-contact-simple-down он стоит тут PGE. PGB-other-contact-simple-down Там вроде как свобода PGE.;w2;стоит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;intrans;imperfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-simple-down Это жертва, она рассказывает PGE, как PGB-index-contact-simple-down ее били PGE.;w2;били;VERB;Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur;trans;imperfective;card;material
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical Точно, смотри, он боится PGE.;w4;боится;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;trans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down Что с ним будет PGE.;w4;будет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w3;будет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;Там PGB-index-contact-simple-down у него было отрицание PGE.;w3;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical А вот этого не было PGE.;w5;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-complex-down;Ну во-первых, как бы, PGB-index-contact-complex-down смешно было бы в тюрьму PGE в шлепках пойти.;w2;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-nocontact-simple-down;То есть как бы сначала PGB-palm-nocontact-simple-down нужно было рассказать PGE, PGB-palm-nocontact-simple-down а потом уже PGE вмазать.;w2;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w2;видел;VERB;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-simple-down;Ну скорее всего PGB-index-nocontact-simple-down он не говорит на их PGE языке.;w3;говорит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-complex-down;Нет, тут PGB-index-contact-simple-down смотри, вот этот PGE PGB-index-contact-complex-down чувак ему говорит о том, что PGE PGB-index-contact-simple-down он якобы там PGE, PGB-index-nocontact-complex-down что эта девушка PGE.;w3;говорит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-nocontact-simple-up;Да, PGB-palm-nocontact-simple-up либо вот он думает PGE, что я вот буду за решеткой сидеть.;w4;думает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down Или он думает PGE, что его там будут бить.;w3;думает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-contact-simple-down;Да-да-да PGE. PGB-palm-contact-simple-down Думает PGE, PGB-palm-contact-simple-down возвращается PGE.;w1;думает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-complex-down;При этом он совершенно не PGB-index-nocontact-complex-down думает о том, что он PGE сделал женой, и правда.;w1;думает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Не раскаивается еще, а скорее только думает PGE, как же ему фигово будет там.;w7;думает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-complex-down;PGB-index-nocontact-simple-vertical Они думают PGE, блин, скалится.;w2;думают;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-contact-simple-up;PGB-index-contact-simple-down Ну PGE, у него PGB-palm-contact-simple-up есть еда PGE.;w1;есть;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-complex-up;PGB-index-nocontact-complex-up А этот, ну вообще никто не знает PGE кто это.;w7;знает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-complex-down;Мне PGB-index-nocontact-complex-vertical кажется, это не имеет PGE этого.;w4;имеет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down И рассказывает ему историю их знакомства PGE и PGB-index-contact-simple-down ему что-то не нравится PGE.;w4;нравится;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;trans;imperfective;card;mental
pgb-index-nocontact-simple-down;Мне мне нравятся, PGB-index-nocontact-simple-down мне нравятся у старичка PGE штанишки.;w2;нравятся;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;trans;imperfective;card;mental
pgb-other-nocontact-complex-up;PGB-other-nocontact-complex-up Ну то есть тут видно PGE, PGB-other-nocontact-simple-up он PGE PGB-other-nocontact-complex-up обвиняет ее в том PGE, что PGB-index-nocontact-complex-up она сильно мила к нему PGE была.;w1;обвиняет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-nocontact-complex-up;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w5;общалась;VERB;Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;mental
pgb-index-contact-complex-down;PGB-index-contact-simple-down с какой-то женщиной PGE, с которой PGB-index-contact-complex-down они так дружелюбно общаются PGE.;w4;общаются;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-dow Он отказывается от алкоголя PGE.;w2;отказывается;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;mental
pgb-palm-nocontact-complex-down;Не, он даже на самом деле ощущение, что PGB-palm-nocontact-complex-down он даже не понимает о том, что он натворил, да PGE.;w4;понимает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-simple-down;Блин, реально, если, PGB-index-nocontact-simple-down короче, переиначить, он предлагает PGE как.;w4;предлагает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-nocontact-complex-down;И PGB-palm-nocontact-complex-vertical вот они предлагают PGE предлагают закутить, да.;w3;предлагают;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-complex-up;По-ходу, история PGB-index-nocontact-complex-up развивается PGE либо. А. Слушай, да.;w1;развивается;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down Это на самом деле нифига не раскаивается PGE.;w7;раскаивается;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;mental
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Не раскаивается еще, а скорее только думает PGE, как же ему фигово будет там.;w2;раскаивается;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;intrans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Что либо это PGE PGB его отец PGE, PGB-index-contact-simple-down который рассказывает ему PGB, как PGB-index-contact-complex-down они познакомились с его мамой PGE.;w2;рассказывает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down И рассказывает ему историю их знакомства PGE и PGB-index-contact-simple-down ему что-то не нравится PGE.;w2;рассказывает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-complex-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w2;рассказывает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;Да, PGB-index-contact-simple-down тут он рассказывает PGE как ему тяжко приходилось.;w3;рассказывает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down Это жертва, она рассказывает PGE, как PGB-index-contact-simple-down ее били PGE.;w4;рассказывает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-simple-vertical;Это сразу понятно, что ему ну что ему не нравится, то что PGB-index-nocontact-simple-vertical рассказывает этот PGE человек.;w1;рассказывает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он рассказывает то, что ему этот мужик рассказал PGE.;w3;рассказывает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;"Ну в общем PGB-index-nocontact-simple-vertical ну видишь PGE, PGB-index-contact-simple-down он так смотрит PGE, типа, ""Это вы что, ему обо мне рассказывает[]""? PGB-index-contact-complex-vertical Видишь, он это PGE он тут подозрительный, подозрительный.";w3;смотрит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-complex-down;PGB-index-contact-complex-down И сын смотрит PGE PGB-index-contact-complex-down на это все тоже как-бы PGE.;w3;смотрит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-complex-up;Но PGB-index-nocontact-complex-up мальчик на них смотрит с презрением PGE.;w4;смотрит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-contact-simple-down;То есть PGB-index-contact-complex-down он говорит, что ему, наверное, товарищ PGE рассказал, что PGB-index-contact-simple-down она флиртовала PGE PGB-index-nocontact-simple-down каким-то парнем PGE, продающим газеты.;w2;флиртовала;VERB;Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;imperfective;card;mental
pgb-index-nocontact-simple-down;И он даже не PGB-index-nocontact-simple-down хочет может PGE быть есть свою еду.;w1;хочет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-index-nocontact-complex-down;И PGB-index-nocontact-complex-down он не хочет уже с этими людьми вообще PGE ничего иметь общего.;w3;хочет;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;card;mental
pgb-palm-nocontact-complex-down;Пошел PGB-palm-nocontact-complex-down пошел напрямую бить PGE морду.;w3;бить;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;infinitive;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down И вот этот PGE PGB-index-nocontact-simple-down папа пришел забирать PGE мальчика.;w3;забирать;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;infinitive;card;material
pgb-index-contact-simple-down;Смотри, они PGB-index-contact-complex-down это они PGE собрали и PGB-index-contact-simple-down идут продавать PGE, наверное, да?;w2;продавать;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;infinitive;card;material
pgb-palm-nocontact-complex-vertical;PGB-palm-nocontact-simple-vertical Найти себе девушку PGE, PGB-palm-nocontact-complex-vertical избить ее, в тюрьму сесть PGE.;w5;сесть;VERB;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;intrans;infinitive;card;material
pgb-index-contact-simple-down;Хотя он PGB-index-contact-simple-down мог ее уронить PGE после того, как полицейские пришли.;w3;уронить;VERB;Aspect=Perf|VerbForm=Inf|Voice=Act;trans;infinitive;card;material
pgb-palm-nocontact-complex-vertical;PGB-palm-nocontact-simple-vertical Найти себе девушку PGE, PGB-palm-nocontact-complex-vertical избить ее, в тюрьму сесть PGE.;w1;избить;VERB;Aspect=Perf|VerbForm=Inf|Voice=Act;trans;infinitive;card;material
pgb-index-nocontact-simple-down;Как видимо много PGB-index-nocontact-simple-down ему думать PGE пришлось о своем поведении.;w2;думать;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;infinitive;card;mental
pgb-palm-nocontact-simple-down;То есть как бы сначала PGB-palm-nocontact-simple-down нужно было рассказать PGE, PGB-palm-nocontact-simple-down а потом уже PGE вмазать.;w3;рассказать;VERB;Aspect=Perf|VerbForm=Inf|Voice=Act;trans;infinitive;card;mental
pgb-index-contact-simple-down;PGB-index-contact-simple-down Потому что его взяли допустим PGE.;w4;взяли;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down Не, ну смотри, это уже встретила PGE.;w6;встретила;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-palm-contact-simple-down;Вот смотри, было бы круто если бы. PGB-palm-contact-simple-down Он мечтает, что его встречают PGE.;w5;встречают;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-other-nocontact-simple-down;И вот томно улыбался бы, если PGB-other-nocontact-simple-down бы мне выдавали бы одежду PGE.;w3;выдавали;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-palm-nocontact-simple-down;PGB-palm-nocontact-simple-down И выдали ему PGE одежду.;w2;выдали;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down я думаю, что в тюрьме они, наверное, все таки выдают PGE, эм, обувь.;w10;выдают;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-complex-down;Да, другой стороны, может быть он только он как бы смирился с тем, PGB-index-contact-simple-down ему сейчас выдают PGE и PGB-index-contact-simple-down он как раз наоборот PGE в тюрьму.;w3;выдают;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-complex-down;То есть PGE PGB-index-contact-simple-down и PGE PGB-index-contact-complex-down собственно вопрос в том, что PGE, похоже, PGB-index-contact-simple-down ему выдают эти вещи сейчас PGE.;w2;выдают;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down А, вот кто вызвал полицию PGE.;w4;вызвал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
