pgb-index-contact-complex-down;sent;name;value;pos;feats;trans;v.form;use;semantics
pgb-palm-contact-simple-down;Что это PGE если PGB-palm-contact-simple-down он вышел из тюрьмы PGE. PGB-other-contact-simple-down А это он отсидел PGE.;w2;вышел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w4;вышел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-palm-contact-simple-down;То есть как бы PGB-palm-contact-simple-down он там вышел PGE.;w3;вышел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-contact-simple-down;Это парень, которого уже PGB-index-contact-simple-down заковали PGE.;w1;заковали;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-simple-down И это этот парень PGE который, PGB-index-contact-simple-down наверное, в тюрьму и попал PGE за то, что PGB-iindex-contact-complex-down он избил ее PGE.;w2;избил;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-palm-nocontact-complex-down;Короче, PGB-palm-contact-simple-down его PGE PGB-palm-nocontact-complex-down вот эта вот семейка PGE, PGB-palm-nocontact-complex-down видимо, избила PGE.;w2;избила;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-simple-down;Хотя он PGB-index-contact-simple-down мог ее уронить PGE после того, как полицейские пришли.;w1;мог;VERB;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-contact-complex-vertical;Хотя PGB-index-contact-complex-vertical ребенок мог как бы с ним PGE вместе прийти, да, и там встать в сторону, ждать, что- что мама с дедом сделает.;w2;мог;VERB;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-nocontact-complex-vertical;Чтобы избавиться PGB-index-nocontact-simple-down от него PGE, чтобы PGB-index-nocontact-complex-vertical она могла быть счастлива PGE другим мужчиной?;w2;могла;VERB;Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-contact-complex-vertical;Я PGB-index-contact-complex-vertical сначала, подумала, что это могло бы быть PGE.;w5;могло;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-nocontact-complex-down;Ну они ну PGB-index-nocontact-complex-down они поняла, они вот напились PGE.;w5;напились;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;trans;perfective;card;material
pgb-palm-nocontact-simple-vertical;Он PGE PGB-palm-nocontact-simple-vertical начал на нее PGE кричать.;w1;начал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-palm-nocontact-simple-up;Да, PGB-index-nocontact-simple-down он еще PGE не. PGB-palm-nocontact-simple-up Они пока еще только начали PGE.;w5;начали;VERB;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical Видишь, уже бороду отрастил PGE.;w4;отрастил;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-palm-contact-complex-down;Ну понятно, да, подобрали PGE. PGB-palm-contact-complex-down И он отсидел в обезъяннике PGE ночь.;w3;отсидел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-other-contact-simple-down;Что это PGE если PGB-palm-contact-simple-down он вышел из тюрьмы PGE. PGB-other-contact-simple-down А это он отсидел PGE.;w4;отсидел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-other-contact-simple-down;Слушай, это жена его! PGB-other-contact-simple-down Это его жена, которую он побил PGE! А, ну да.;w6;побил;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down А че он PGE PGB-index-nocontact-simple-down этого не побил PGE, а барышню побил?;w3;побил;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-complex-down;Тогда они могут PGB-index-contact-complex-down сюда пойти PGE.;w2;пойти;VERB;Aspect=Perf|VerbForm=Inf|Voice=Act;trans;perfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down И это этот парень PGE который, PGB-index-contact-simple-down наверное, в тюрьму и попал PGE за то, что PGB-index-contact-complex-down он избил ее PGE.;w5;попал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Как он туда попал PGE.;w4;попал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-complex-down;И явно PGE, PGB-index-nocontact-simple-down может это тот самый человек PGE, PGB-index-nocontact-complex-down который потом пошел PGE в тюрьму.;w3;пошел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-palm-nocontact-complex-down;Пошел PGB-palm-nocontact-complex-down пошел напрямую бить PGE морду.;w1;пошел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w2;пошел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-simple-down;Да, и PGB-index-contact-simple-down она пошла PGE.;w2;пошла;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-contact-complex-up;Да, но он уже PGB-index-contact-complex-up прикован PGE. даже не знаю, что еще можно.;w1;прикован;VERB;Animacy=Inan|Aspect=Perf|Case=Nom|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass;trans;perfective;card;material
pgb-index-contact-simple-down;Это он PGB-index-contact-simple-down пришел домой с пьянки PGE.;w1;пришел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-palm-contact-simple-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w5;пришел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down И вот этот PGE PGB-index-nocontact-simple-down папа пришел забирать PGE мальчика.;w2;пришел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-contact-simple-down;Он PGB-index-contact-simple-down сначала пришел PGE, PGB-index-contact-simple-down потом рассказал PGE.;w2;пришел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-palm-contact-simple-up;Это как-то странно PGE, то есть он. PGB-palm-contact-simple-up Он пришел PGE, PGB-index-nocontact-complex-down потом ушел PGE как бы, да.;w2;пришел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-complex-down Которая пришла PGE.;w2;пришла;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-contact-complex-down;PGB-index-contact-simple-down Но вот этот вот в полосатом, он PGE он вспоминает, выговаривает какую-то ситуацию, PGB-index-contact-complex-down которая произошла вот у этого PGE.;w2;произошла;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down фляжка разбилась PGE.;w2;разбилась;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;trans;perfective;card;material
pgb-palm-contact-complex-down;Потом они PGB-palm-contact-complex-down связались посольством PGE, да, все хорошо.;w1;связались;VERB;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;intrans;perfective;card;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down Ну слушай, интересно, это картинка такая хреновая, или он ему реально глаз че-то сделал PGE.;w14;сделал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w4;сделала;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-simple-down;Ну да, ну вот PGB-index-nocontact-simple-down сжаты ж зубы PGE, типа страх.;w1;сжаты;VERB;Animacy=Inan|Aspect=Perf|Case=Nom|Number=Plur|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass;trans;perfective;card;material
pgb-palm-nocontact-simple-vertical;Да, ну PGB-palm-nocontact-simple-vertical может быть он скатился PGE, кто знает.;w4;скатился;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;intrans;perfective;card;material
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Он PGE, PGB-index-nocontact-simple-down наверное, ее ударил за PGE то, что она ему изменила.;w3;ударил;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-simple-vertical;Ребенок все понял. PGB-index-nocontact-simple-vertical Ребенок упал PGE.;w2;упал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-nocontact-simple-down;Вот, такое ощущение, что она PGB-index-nocontact-simple-down уронила ребенка PGE, если честно.;w1;уронила;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-other-contact-simple-down;Да, она PGB-other-contact-simple-down сейчас уронит его PGE.;w2;уронит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;perfective;card;material
pgb-index-nocontact-complex-down;Это как-то странно PGE, то есть он. PGB-palm-contact-simple-up Он пришел PGE, PGB-index-nocontact-complex-down потом ушел PGE как бы, да.;w2;ушел;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;material
pgb-index-contact-simple-down;Ну она как-то больше PGB-index-contact-simple-down воспринимает PGE информацию.;w1;воспринимает;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-contact-complex-down;PGB-index-contact-complex-down А вот смотри, турист тоже PGE, да. PGB-index-contact-simple-down Да, это PGE короче, PGB-index-contact-complex-down турист договорился PGE.;w2;договорился;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;intrans;perfective;card;mental
pgb-index-contact-simple-down;Вот, да, PGB-index-contact-simple-down потом подала на него PGE еще.;w2;подала;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Они же его и подставили PGE, чтобы понимаешь там.;w5;подставили;VERB;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-nocontact-complex-up;PGB-index-nocontact-complex-up Она позвала полицию PGE.;w2;позвала;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Что либо это PGE PGB его отец PGE, PGB-index-contact-simple-down который рассказывает ему PGB, как PGB-index-contact-complex-down они познакомились с его мамой PGE.;w8;познакомились;VERB;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;intrans;perfective;card;mental
pgb-other-contact-simple-down;Скорее всего даже работа потому что они PGB-other-contact-simple-down так и познакомились PGE.;w3;познакомились;VERB;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;intrans;perfective;card;mental
pgb-palm-contact-simple-down;То есть вот так они работали, PGB-palm-contact-simple-down познакомились PGE и завели ребенка.;w1;познакомились;VERB;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;intrans;perfective;card;mental
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Поняла PGE? PGB-index-nocontact-complex-down Да PGE.;w1;поняла;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-contact-complex-down;PGB-index-contact-complex-down Ну то есть, тут то явно прошло как минимум PGE несколько лет, да? Да.;w7;прошло;VERB;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-contact-simple-down;Что PGB-index-contact-simple-down его разозлило PGE, PGB-index-nocontact-simple-down потому что он явно тоже недоволен PGE.;w2;разозлило;VERB;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он рассказывает то, что ему этот мужик рассказал PGE.;w9;рассказал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-contact-simple-down;Он PGB-index-contact-simple-down сначала пришел PGE, PGB-index-contact-simple-down потом рассказал PGE.;w2;рассказал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-nocontact-simple-down;Мне PGB-index-nocontact-simple-down кажется, он ему рассказал PGE что-то про его девушку, или что-то такое.;w4;рассказал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-palm-contact-complex-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w6;рассказали;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w12;рассказали;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-nocontact-complex-down;Ну, ну подожди, PGB-index-nocontact-complex-down мне кажется, что он сказал ему что-то PGE, что его разозлило.;w5;сказал;VERB;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;card;mental
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-vertical И мы потом узнаем PGE, PGB-index-nocontact-complex-down что же там случилось PGE.;w4;случилось;VERB;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;trans;perfective;card;mental
pgb-palm-contact-complex-vertical;Ты PGB-palm-contact-complex-vertical думаешь, его жена с ребенком стала бы PGE свидетельствовать против.;w6;стала;VERB;Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;intrans;perfective;card;mental
pgb-other-contact-simple-vertical;PGB-other-contact-simple-down Видишь PGE? Тоже, да.;w1;видишь;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;imperative;task;mental
pgb-other-nocontact-simple-vertical;"Ну в общем PGB-index-nocontact-simple-vertical ну видишь PGE, PGB-index-contact-simple-down он так смотрит PGE, типа, ""Это вы что, ему обо мне рассказывает[]""? PGB-index-contact-complex-vertical Видишь, он это PGE он тут подозрительный, подозрительный.";w2;видишь;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;imperative;task;mental
pgb-palm-nocontact-complex-vertical;Ну да, короче, осознал мужик, что он сделал. А, все! PGB-palm-nocontact-complex-vertical Видишь PGE, это вернулся домой и он уже понимает, что совершил в состоянии опьянения.;w1;видишь;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;imperative;task;mental
pgb-other-nocontact-simple-vertical;"А! Да, видишь, эта та ситуация, что PGB-other-nocontact-simple-down он ей PGE рассказывает: ""Да мне корешь сказал!"" ""Да братан же сказал типа, PGB-index-contact-simple-down что PGE ты вот."" PGB-other-nocontact-simple-vertical Видишь PGE.";w1;видишь;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;imperative;task;mental
pgb-palm-contact-simple-down;Все, счастливую PGB-palm-contact-simple-down историю делаем PGE?;w2;делаем;VERB;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;trans;imperfective;task;material
pgb-palm-nocontact-simple-vertical;PGB-palm-nocontact-simple-vertical Это вполне было PGE лавочки понятно.;w3;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;task;mental
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down не было бы ребенка PGE было бы вообще отлично.;w2;было;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;imperfective;task;mental
pgb-palm-contact-simple-down;И PGB-index-contact-simple-down ну тут он выглядит старше PGE.;w4;выглядит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;task;mental
pgb-palm-contact-complex-down;Не, PGB-index-contact-complex-down смотри, вообще вот тут шмотки, которые на нем, выглядят гораздо хуже PGE, чем PGB-index-contact-complex-down то, что ему дают.;w9;выглядят;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;task;mental
pgb-index-contact-complex-down;PGB-index-contact-complex-down Я думаю да PGE.;w2;думаю;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;task;mental
pgb-palm-nocontact-complex-vertical;PGB-index-nocontact-complex-vertical Значит он сразу же PGE пойдет к своей семье.;w1;значит;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;task;mental
pgb-other-contact-complex-vertical;За работой люди, да. PGB-other-contact-complex-vertical Видимо еще, не знаю PGE, родился ребенок, не родился.;w4;знаю;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;trans;imperfective;task;mental
pgb-index-contact-complex-down;PGB-index-contact-simple-down В ярости PGE PGB-index-contact-complex-down ты имеешь в виду PGE мужчина, PGB-index-nocontact-simple-down не дедушка PGE? PGB-index-nocontact-simple-down Да, да, да PGE.;w2;имеешь;VERB;Aspect=Imp|VerbForm=Inf|Voice=Act;trans;imperfective;task;mental
pgb-index-contact-simple-down;Потому что PGB-index-contact-simple-down мне кажется у них PGE PGB-index-contact-complex-down они очень похожи с этим PGE мальчиком.;w2;кажется;VERB;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;trans;imperfective;task;mental
pgb-palm-nocontact-complex-down;Так вот, в PGB-palm-nocontact-complex-vertical Кубе, ты представляешь какая там какой PGE там будет изолятор.;w3;представляешь;VERB;Aspect=Perf|VerbForm=Inf|Voice=Act;trans;imperfective;task;mental
pgb-palm-nocontact-simple-down;Но вот PGB-palm-nocontact-simple-down примерно так себе это представляю PGE.;w5;представляю;VERB;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;trans;imperfective;task;mental
pgb-palm-contact-complex-down;Нет, надо, надо, чтобы PGB-palm-contact-complex-down все закончилось вот так PGE.;w2;закончилось;VERB;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid;trans;perfective;task;material
pgb-index-contact-simple-down;PGB-index-contact-simple-down После вот этой картинки оно совсем пропало PGE.;w7;пропало;VERB;Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;task;material
pgb-index-nocontact-simple-vertical;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w6;сказали;VERB;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;trans;perfective;task;mental
pgb-other-nocontact-simple-up;Ну PGB-other-nocontact-simple-up судя по всему PGE, он там несколько лет точно провел за избиение.;w1;судя;VERB;Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act;trans;perfective;task;mental
pgb-palm-nocontact-complex-up;Ну PGB-index-nocontact-complex-up слушай, судя по всему это стойки PGE, стойки этими, фруктами.;w2;судя;VERB;Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act;trans;perfective;task;mental
pgb-index-nocontact-complex-down;Любопытно, что он по том PGB-index-nocontact-complex-down судя по тому, что он PGE рассказывает, он не пытается извиниться.;w1;судя;VERB;Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act;trans;perfective;task;mental
pgb-palm-nocontact-complex-vertical;PGB-index-nocontact-complex-vertical И мы потом узнаем PGE, PGB-index-nocontact-complex-down что же там случилось PGE.;w4;узнаем;VERB;Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;trans;perfective;task;mental